"id","rank","name","pos","team","gp","mpg","fg_percent","ft_percent","threepm","pts","treb","ast","stl","blk","turnovers","total","last_modified"
172,172,Troy Brown,"SG,SF",WAS,68,29.0,0.44,0.75,0.9,11.7,6.2,3.3,0.9,0.2,1.3,-1.45,2019-10-18 14:56:16
173,173,Rodney Hood,"SG,SF",POR,72,28.0,0.44,0.84,1.3,12.7,2.3,2.0,0.9,0.2,0.9,-1.49,2019-10-18 14:56:16
174,174,Boban Marjanovic,C,DAL,60,14.0,0.64,0.79,0.1,9.3,5.8,1.2,0.3,0.6,1.3,-1.55,2019-10-18 14:56:16
175,175,Dennis Schroder,PG,OKC,76,26.0,0.42,0.81,1.5,14.6,3.4,3.8,0.7,0.2,2.0,-1.57,2019-10-18 14:56:16
176,176,Landry Shamet,PG,LAC,78,28.0,0.44,0.80,2.8,12.6,2.2,1.9,0.6,0.1,0.7,-1.68,2019-10-18 14:56:16
177,177,OG Anunoby,"SF,PF",TOR,70,28.0,0.45,0.62,1.5,11.0,4.4,1.0,1.2,0.4,1.1,-1.70,2019-10-18 14:56:16
178,178,Mason Plumlee,"PF,C",DEN,76,20.0,0.59,0.58,0.0,7.8,6.4,3.0,0.8,0.9,1.4,-1.71,2019-10-18 14:56:16
179,179,Coby White,PG,CHI,70,24.0,0.44,0.77,1.4,10.9,2.6,3.0,1.1,0.2,1.5,-1.77,2019-10-18 14:56:16
180,180,Kris Dunn,"PG,SG",CHI,60,22.0,0.43,0.82,0.5,8.7,3.1,4.6,1.1,0.4,1.7,-1.77,2019-10-18 14:56:16
181,181,Bobby Portis,"PF,C",NYK,64,23.0,0.44,0.78,1.2,11.8,6.6,1.3,0.6,0.4,1.3,-1.77,2019-10-18 14:56:16
182,182,Tristan Thompson,"PF,C",CLE,70,25.0,0.53,0.63,0.0,10.4,9.6,1.9,0.5,0.4,1.3,-1.81,2019-10-18 14:56:16
183,183,Gorgui Dieng,"PF,C",MIN,76,16.0,0.50,0.88,0.4,8.1,5.1,1.1,0.7,0.6,0.9,-1.81,2019-10-18 14:56:16
184,184,Chris Boucher,"PF,C",TOR,40,12.0,0.44,1.00,0.9,7.2,4.3,0.2,0.4,1.2,0.6,-1.84,2019-10-18 14:56:16
185,185,Tyler Herro,SG,MIA,74,23.0,0.44,0.85,1.7,11.4,3.1,1.8,0.7,0.3,1.1,-1.85,2019-10-18 14:56:16
186,186,Jordan Clarkson,"PG,SG",CLE,76,23.0,0.45,0.86,1.6,14.9,2.9,2.1,0.6,0.2,1.4,-1.85,2019-10-18 14:56:16
187,187,Bruce Brown Jr,SG,DET,76,26.0,0.43,0.73,0.5,10.5,4.0,2.1,1.1,0.7,0.8,-1.89,2019-10-18 14:56:16
188,188,George Hill,"PG,SG",MIL,64,24.0,0.45,0.88,1.1,9.1,2.9,2.7,1.0,0.1,1.0,-1.91,2019-10-18 14:56:16
189,189,Monte Morris,PG,DEN,76,22.0,0.49,0.80,1.1,10.0,2.2,3.5,0.8,0.0,0.6,-1.91,2019-10-18 14:56:16
190,190,Jusuf Nurkic,C,POR,18,22.0,0.48,0.67,0.0,10.0,7.5,2.5,0.8,1.0,1.8,-1.91,2019-10-18 14:56:16
191,191,Rajon Rondo,PG,LAL,66,22.0,0.43,0.67,0.9,7.2,4.0,6.2,0.9,0.2,2.1,-1.95,2019-10-18 14:56:16
192,192,Kentavious Caldwell-Pope,"SG,SF",LAL,70,22.0,0.43,0.89,1.7,10.8,2.7,1.2,0.8,0.2,0.7,-1.97,2019-10-18 14:56:16
193,193,Malik Beasley,"PG,SG",DEN,70,22.0,0.47,0.88,2.0,11.3,2.4,1.2,0.7,0.1,0.7,-2.01,2019-10-18 14:56:16
194,194,Ish Smith,PG,WAS,74,28.0,0.43,0.73,1.1,11.9,3.4,4.7,0.6,0.3,1.4,-2.20,2019-10-18 14:56:16
195,195,Meyers Leonard,"PF,C",MIA,70,19.0,0.56,0.91,1.1,8.2,5.3,1.7,0.3,0.1,0.9,-2.21,2019-10-18 14:56:16
196,196,Dennis Smith Jr,"PG,SG",NYK,70,26.0,0.42,0.64,1.2,13.1,2.8,4.6,1.2,0.4,2.6,-2.22,2019-10-18 14:56:16
197,197,Will Barton,"SG,SF",DEN,60,28.0,0.40,0.78,1.7,12.3,4.9,3.1,0.4,0.5,1.5,-2.27,2019-10-18 14:56:16
198,198,Luke Kennard,SG,DET,68,25.0,0.45,0.75,2.0,11.9,3.3,2.1,0.4,0.1,1.0,-2.32,2019-10-18 14:56:16
199,199,PJ Washington,PF,CHA,70,26.0,0.47,0.69,0.7,10.8,6.1,1.6,0.7,0.8,1.5,-2.32,2019-10-18 14:56:16
200,200,Dillon Brooks,"SG,SF",MEM,70,28.0,0.45,0.73,1.3,13.9,3.3,1.4,1.0,0.2,1.7,-2.39,2019-10-18 14:56:16
